x_m,y_m,v_mps
40.56847545219586,165.88050314465266,45.05147254204827
51.1627906976741,166.509433962263,43.615130100337716
65.8914728682161,166.9811320754705,41.53847339203637
80.6201550387581,167.452830188678,39.3523820093834
93.02325581395155,167.6886792452815,37.4131775509108
105.426356589145,167.924528301885,35.36780653503282
117.8294573643405,168.39622641509249,33.19543545042243
130.232558139536,168.8679245283,30.870570619715046
140.31007751938074,169.3396226415075,28.843188065131322
150.3875968992255,169.81132075471498,26.662086661292168
160.46511627907026,170.2830188679225,24.285885458594542
170.542635658915,170.75471698113,21.650441101319256
183.333333333331,167.452830188678,22.087214289648536
191.472868217055,162.735849056602,19.363741167220578
199.612403100774,152.830188679244,17.244282843457153
201.162269383755,136.877128860651,19.837699087357308
197.674418604648,124.056603773583,17.125656212778583
191.86046511628,117.452830188678,18.603185580207615
182.945736434106,109.905660377357,20.400025010844207
172.093023255811,101.415094339621,22.33466482700109
162.790697674417,94.8113207547153,23.817754233126287
151.937984496122,85.8490566037722,23.372666487524267
145.736434108524,76.8867924528286,24.732037286352377
142.248062015502,70.2830188679231,23.711592236283202
139.147286821705,59.9056603773572,25.04443836925096
136.821705426355,48.5849056603744,26.392552343536046
132.558139534882,33.9622641509437,27.51699777543258
127.906976744185,21.6981132075445,24.490551277646478
118.217054263566,8.96226415094202,20.19284370666158
108.139534883721,3.30188679244949,21.842647463830332
97.2868217054257,0.0,21.823878647710313
85.2713178294555,0.0,23.417401702277033
72.86821705426205,0.0,24.955827117869045
60.4651162790686,0.0,26.404770625554175
48.64341085271285,0.0,27.715377398589816
36.8217054263571,0.0,28.966746053093324
18.6046511627892,0.0,30.79569292102071
1.16279069767532,0.0,32.45036001767143
