x_m,y_m,s_m,v_mps,v_kph,gear,rpm
-139.550094,-4.554865605,577.1819497,15.18574789,54.6686924,1,7358.397152
-146.4435803,-4.74057838,584.0779372,15.03773165,54.13583395,1,7286.674492
-152.8016269,-2.070393457,590.9739247,15.99481366,57.58132919,1,7750.437593
-157.1775247,2.641633083,597.4044516,17.9911543,64.76815546,1,8717.783247
-159.3455938,8.695652518,603.8349784,20.70829168,74.54985004,1,10034.39775
-160.3271888,17.39130504,612.5858584,23.62472717,85.0490178,1,11447.58404
-160.8348779,23.22882698,618.4454156,26.26800735,94.56482647,1,12728.41034
-161.2223408,29.07555968,624.3049728,28.51142361,102.641125,1,13815.47882
-161.4894132,34.92902729,630.1645301,30.47302874,109.7029035,1,14765.99306
-161.6359822,40.7867511,636.0240873,32.23126465,116.0325527,1,15617.96283
-161.9153755,46.13909983,641.3837232,33.77717161,121.5978178,2,12672.8971
-162.1873333,51.49183151,646.7433592,35.11912809,126.4288611,2,13176.38734
-162.4518552,56.84493582,652.1029951,36.31768437,130.7436637,2,13626.0751
-162.7089406,62.19840242,657.4626311,37.39767549,134.6316318,2,14031.27825
-162.958589,67.55222098,662.822267,38.19074164,137.4866699,2,14328.82967
-163.2008,72.90638117,668.181903,38.34054034,138.0259452,2,14385.03283
-163.4355731,78.26087266,673.5415389,37.63620888,135.490352,2,14120.77387
-163.7423674,83.48987544,678.779534,36.26110688,130.5399848,2,13604.84772
-164.0627658,88.71806228,684.0175292,34.55774346,124.4078765,2,12965.76078
-164.3967663,93.94539779,689.2555243,32.69778069,117.7120105,1,15844.01757
-164.7443665,99.17184657,694.4935194,30.68396792,110.4622845,1,14868.20563
-165.0106365,104.9680647,700.2958504,28.54188996,102.7508038,1,13830.24157
-165.235164,110.7660499,706.0981813,26.4842066,95.34314376,1,12833.17172
-166.8753778,115.6021282,711.2048392,24.95054832,89.82197394,1,12090.02316
-169.3251433,120.0828205,716.311497,24.41667085,87.90001508,1,11831.32781
-174.5603168,124.0165681,722.859887,25.04703025,90.16930891,1,12136.77439
-181.1042837,126.9151189,730.0170582,26.53253614,95.51713009,1,12856.59026
-186.311273,129.5039742,735.8321171,28.25365086,101.7131431,1,13690.57261
-191.4110316,132.2981419,741.647176,29.50091581,106.2032969,1,14294.94658
-196.0659548,134.5802164,746.8313996,29.66601361,106.797649,1,14374.94628
-200.7561842,136.7888181,752.0156231,28.50634208,102.6228315,1,13813.01652
-205.4805604,138.9234009,757.1998467,26.25447765,94.51611955,1,12721.8544
-212.8425231,142.2360305,765.272765,23.42695405,84.33703458,1,11351.75121
-216.7741361,145.5338632,770.4043614,20.60195052,74.16702187,1,9982.869145
-219.9178362,149.5897763,775.5359578,18.30214675,65.8877283,1,8868.477569
-222.1309043,154.2196371,780.6675541,16.83637372,60.61094537,1,8158.223441
-223.3128702,159.2132568,785.7991505,16.13438392,58.08378211,1,7818.067675
-223.2298726,164.7542925,791.3408077,15.84111238,57.02800456,1,7675.960187
-221.8275218,170.1155775,796.8824649,15.64367079,56.31721485,1,7580.288008
-219.1867809,174.9875845,802.4241222,15.49410581,55.77878093,1,7507.814889
-215.4601099,179.089034,807.9657794,15.57923674,56.08525228,1,7549.065883
-210.5833384,181.7855847,813.5384167,16.12689744,58.05683077,1,7814.440029
-205.1582891,183.0596047,819.111054,17.24525576,62.08292072,1,8356.351085
-199.5909902,182.8157422,824.6836912,18.91219709,68.08390954,1,9164.083209
-194.2929115,181.8810121,830.0635944,20.98035828,75.52928982,1,10166.23019
-189.2842423,179.9171914,835.4434976,23.18436002,83.46369608,1,11234.19999
-184.3827614,178.5568012,840.5302624,25.28900216,91.04040779,1,12254.02416
-179.4782997,177.2071971,845.6170273,27.22038117,97.99337222,1,13189.89205
-174.5708808,175.8683856,850.7037921,29.00850977,104.4306352,1,14056.3466
-169.6605285,174.5403731,855.7905569,30.68394526,110.4622029,1,14868.19464
-164.7472667,173.2231662,860.8773217,32.24346556,116.076476,1,15623.87489
-159.831119,171.9167711,865.9640866,33.66008667,121.176312,2,12628.96786
-154.9121092,170.6211942,871.0508514,34.92346582,125.7244769,2,13102.97658
-149.9902612,169.3364418,876.1376162,36.06709122,129.8415284,2,13532.05475
-145.0655988,168.06252,881.224381,37.13977283,133.7031822,2,13934.51544
-140.1381459,166.7994351,886.3111459,38.16922285,137.4092022,2,14320.75601
-135.2079261,165.5471932,891.3979107,39.1633337,140.9880013,2,14693.73764
-130.2749635,164.3058003,896.4846755,40.12482187,144.4493587,2,15054.47953
-125.3392819,163.0752624,901.5714403,41.05336972,147.792131,2,15402.8625
-120.4009052,161.8555855,906.6582052,41.93771951,150.9757902,2,15734.66275
-115.4598573,160.6467754,911.74497,42.75615944,153.922174,3,13370.78545
-110.516162,159.4488381,916.8317348,43.49850297,156.5946107,3,13602.9325
-105.5698434,158.2617794,921.9184996,44.18174828,159.0542938,3,13816.59824
-100.6209254,157.0856049,927.0052645,44.83279709,161.3980695,3,14020.19543
-95.66943181,155.9203204,932.0920293,45.46655055,163.679582,3,14218.38399
-90.71538673,154.7659315,937.1787941,46.08646488,165.9112736,3,14412.24474
-85.7588141,153.6224438,942.2655589,46.69313445,168.095284,3,14601.96358
-80.7997379,152.4898628,947.3523237,47.28711111,170.2336,3,14787.71306
-75.83818214,151.3681941,952.4390886,47.86890845,172.3280704,3,14969.6538
-70.87417083,150.2574429,957.5258534,48.43900547,174.3804197,3,15147.9356
-65.90772799,149.1576148,962.6126182,48.99784981,176.3922593,3,15322.69844
-60.93887765,148.0687151,967.699383,49.54586064,178.3650983,3,15494.0734
-55.96764387,146.9907489,972.7861479,50.08343118,180.3003523,3,15662.18346
-50.9940507,145.9237216,977.8729127,50.60942139,182.193917,3,15826.67209
-46.01812221,144.8676382,982.9596775,51.11666919,184.0200091,3,15985.29956
-41.03988248,143.822504,988.0464423,51.59214171,185.7317102,4,13975.69398
-36.05935561,142.7883239,993.1332072,52.02915611,187.304962,4,14094.07595
-31.0765657,141.7651029,998.219972,52.43633642,188.7708111,4,14204.37623
-26.09153686,140.7528461,1003.306737,52.82836201,190.1821032,4,14310.57127
-21.10429322,139.7515583,1008.393502,53.21374401,191.5694784,4,14414.96664
-16.10042718,138.5686821,1013.535279,53.59447717,192.9401178,4,14518.1027
-11.09640385,137.3864715,1018.677056,53.97035553,194.2932799,4,14619.92365
-6.092223323,136.2049264,1023.818833,54.34092336,195.6273241,4,14720.30604
-1.087885692,135.0240469,1028.96061,54.70599202,196.9415713,4,14819.19878
3.916608957,133.843833,1034.102387,55.06563189,198.2362748,4,14916.62091
8.921260535,132.6642848,1039.244164,55.4199736,199.511905,4,15012.60785
13.92606895,131.4854022,1044.385941,55.76914275,200.7689139,4,15107.19359
18.93103412,130.3071852,1049.527718,56.11326011,202.0077364,4,15200.41087
23.93615596,129.129634,1054.669495,56.45244196,203.2287911,4,15292.29117
28.94143437,127.9527485,1059.811272,56.78680028,204.432481,4,15382.86484
33.94686926,126.7765287,1064.953049,57.11644296,205.6191947,4,15472.1611
38.95246056,125.6009746,1070.094827,57.44147409,206.7893067,4,15560.20814
43.95820816,124.4260864,1075.236604,57.76199405,207.9431786,4,15647.03317
48.96411198,123.2518639,1080.378381,58.07809979,209.0811593,4,15732.66243
53.97017194,122.0783072,1085.520158,58.38988493,210.2035858,4,15817.1213
58.97638794,120.9054164,1090.661935,58.68553567,211.2679284,4,15897.20954
63.9827599,119.7331915,1095.803712,58.89675177,212.0283064,4,15954.42546
68.98928772,118.5616324,1100.945489,58.87191105,211.9388798,4,15947.69641
73.99597132,117.3907392,1106.087266,58.47033796,210.4932166,4,15838.91506
