s_m,v_const_mps,v_trac_mps,R_m
2244.6000543869454,11.25702591254169,10.76026188286883,999999999.9999999
2245.5214871050166,11.957896609828119,11.491470520504485,999999999.9999999
2246.442919823088,12.619902942061106,12.178856828919837,999999999.9999999
2247.364352541159,13.248871997371939,12.829466574843675,999999999.9999999
2248.28578525923,12.641702510522613,12.641702510522613,999999999.9999999
2249.2072179773013,11.752379778167573,11.752379778167573,999999999.9999999
2250.1286506953725,10.79000549286284,10.79000549286284,999999999.9999999
2251.0500834134436,9.73293412192534,9.73293412192534,999999999.9999999
2251.971516131515,8.546098215411927,8.546098215411927,999999999.9999999
2252.892948849586,7.165304096351758,7.165304096351758,5.694389732813132
2253.781950905757,5.514609540366937,5.514609540366937,2.7455908174746657
2254.6120380502116,6.713314917347413,6.035342688944593,999999999.9999999
2255.429101567942,7.7133847807275036,7.13113377865514,999999999.9999999
2256.246165085672,8.597907441443997,8.079652007676797,999999999.9999999
2257.0632286034024,9.399559562432563,8.927960806434752,999999999.9999999
2257.8802921211327,10.13801891711575,9.702380726260666,999999999.9999999
2258.697355638863,10.826224418506959,10.419400143645218,999999999.9999999
2259.5144191565932,11.473222858288585,11.090158112014155,999999999.9999999
2260.3314826743235,11.87553500022941,11.722598455357614,999999999.9999999
2261.148546192054,11.035913558932698,11.035913558932698,999999999.9999999
2261.965609709784,10.126916836767023,10.126916836767023,9.258929240252817
2262.8789665871736,10.89414982271393,10.448551245614459,23.153737543771896
2263.9564888876225,11.734964386015905,11.322504666086703,999999999.9999999
2265.1002226112623,12.566043101672598,12.18175529246861,999999999.9999999
2266.243956334902,13.345466995393062,12.98426786914145,999999999.9999999
2267.387690058542,14.081815913338641,13.739987707041475,999999999.9999999
2268.5314237821817,14.781528659417784,14.456255126473204,999999999.9999999
2269.6751575058215,15.449583800258875,15.138671090083005,999999999.9999999
2270.8188912294613,16.089925099056654,15.791624756995297,999999999.9999999
2271.962624953101,16.705739725773448,16.418631567757973,999999999.9999999
2273.106358676741,17.29964710268152,17.02255893365656,77.48100962084018
2274.238017112606,17.86786541637864,17.599725489629474,45.84129663349941
2275.3390807050264,18.403890769421025,18.143674330886622,999999999.9999999
2276.421723227049,18.916143822318965,18.66307101950667,999999999.9999999
2277.5043657490714,19.414886009465302,19.168399034166242,999999999.9999999
2278.587008271094,19.9011331439797,19.660743200268424,999999999.9999999
2279.6696507931165,20.3757797904346,20.14105570323405,999999999.9999999
2280.752293315139,20.83961860788625,20.610177740491533,999999999.9999999
2281.8349358371615,21.293355897463286,21.068856830604936,999999999.9999999
2282.917578359184,21.737624226900007,21.517760798986586,999999999.9999999
2284.0002208812066,21.656301954019963,21.656301954019963,999999999.9999999
2285.082863403229,21.05957451576807,21.05957451576807,999999999.9999999
2286.1655059252516,20.445438201385823,20.445438201385823,999999999.9999999
2287.248148447274,19.81227416800469,19.81227416800469,35.43846778776073
2288.2719843684704,20.26339316118284,19.998611660155227,53.34713922305254
2289.207617719661,20.118226394258617,20.118226394258617,999999999.9999999
2290.1137127902302,19.580856235342743,19.580856235342743,999999999.9999999
2291.0198078607996,19.028316493260185,19.028316493260185,999999999.9999999
2291.925902931369,18.459245006938787,18.459245006938787,999999999.9999999
2292.8319980019382,17.872062664525085,17.872062664525085,999999999.9999999
2293.7380930725076,17.264921706837494,17.264921706837494,999999999.9999999
2294.644188143077,16.635637024224394,16.635637024224394,999999999.9999999
2295.5502832136463,15.981593063905187,15.981593063905187,999999999.9999999
2296.4563782842156,15.299614848707119,15.299614848707119,999999999.9999999
2297.362473354785,14.58578459244809,14.58578459244809,999999999.9999999
2298.2685684253543,13.83517292395772,13.83517292395772,142.46721855778975
2299.181860349495,13.03493248060159,13.03493248060159,15.339946673573168
2300.194244354204,13.703508365706861,13.313329782430642,999999999.9999999
